Postcode;Plaatsnaam;Gemeentecode;Gemeente;Provinciecode;Provincie;Zorgkantoorcode;Zorgkantoor;Rechtspersoon
4901;OOSTERHOUT NB     ;826;OOSTERHOUT              ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4902;OOSTERHOUT NB     ;826;OOSTERHOUT              ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4903;OOSTERHOUT NB     ;826;OOSTERHOUT              ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4904;OOSTERHOUT NB     ;826;OOSTERHOUT              ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4905;OOSTERHOUT NB     ;826;OOSTERHOUT              ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4906;OOSTERHOUT NB     ;826;OOSTERHOUT              ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4907;OOSTERHOUT NB     ;826;OOSTERHOUT              ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4908;OOSTERHOUT NB     ;826;OOSTERHOUT              ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4909;OOSTEIND          ;826;OOSTERHOUT              ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4911;DEN HOUT NB       ;826;OOSTERHOUT              ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4920;MADE              ;1719;DRIMMELEN               ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4921;MADE              ;1719;DRIMMELEN               ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4924;DRIMMELEN         ;1719;DRIMMELEN               ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4926;LAGE ZWALUWE      ;1719;DRIMMELEN               ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4927;HOOGE ZWALUWE     ;1719;DRIMMELEN               ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4930;GEERTRUIDENBERG   ;779;GEERTRUIDENBERG         ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4931;GEERTRUIDENBERG   ;779;GEERTRUIDENBERG         ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4940;RAAMSDONKSVEER    ;779;GEERTRUIDENBERG         ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4941;RAAMSDONKSVEER    ;779;GEERTRUIDENBERG         ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4942;RAAMSDONKSVEER    ;779;GEERTRUIDENBERG         ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4944;RAAMSDONK         ;779;GEERTRUIDENBERG         ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
5000;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5001;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5002;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5003;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5004;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5011;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5012;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
